CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,ClusterGroup
1,Doctor,-1.0523450022711307,-2.0866745311477546,-0.43185041220777354,Healthcare,1,4,2
2,Doctor,-0.9819414502066202,-1.6502048356717105,1.0697554238784939,Engineer,3,3,2
3,Artist,-1.0171432262388753,-0.5372071122077983,-1.611683569132698,Engineer,1,1,2
4,Artist,-0.9115378981421096,-1.1264412011004576,0.9267453442512303,Lawyer,0,2,2
5,Artist,-0.6299236898840674,-1.5847343813503039,-0.39609789230095765,Entertainment,2,6,2
6,Artist,-0.9467396741743649,-1.14826468587426,0.8909928243444145,Artist,0,2,2
7,Artist,-0.4891165857550463,-1.7374987747669193,-1.611683569132698,Healthcare,1,3,2
8,Artist,-0.9115378981421096,-0.5808540817554027,1.5345381826671005,Healthcare,1,3,2
9,Doctor,0.5317349191803566,-0.2971487796959741,-1.7189411288531458,Engineer,0,3,2
10,Artist,-0.6651254659163227,-0.2753252949221719,0.747982744717151,Artist,1,4,2
11,Doctor,0.6373402472771225,-2.261262409338172,-1.3256634098781708,Engineer,1,3,2
12,Artist,-0.4891165857550463,-0.3844427187911829,1.71330078220118,Healthcare,4,4,2
13,Artist,0.320524262986825,-0.6681480208506115,-1.289910889971355,Executive,0,5,2
14,Artist,-0.8763361221098543,-0.4280896883387873,0.9267453442512303,Lawyer,1,1,2
15,Doctor,-0.41871303369053575,-1.9993805920525456,-1.3614159297849868,Doctor,0,1,2
16,Doctor,-0.9467396741743649,-1.3010290792908752,0.9982503840648622,Healthcare,1,2,2
17,Artist,-0.4891165857550463,-1.7811457443145238,-0.5748604918350371,Homemaker,9,5,2
18,Doctor,-1.0171432262388753,-0.4717366578863917,0.5334676252762556,Healthcare,1,6,2
19,Doctor,0.10931360679329337,-1.9775571072787435,-0.7893756112759325,Entertainment,1,4,2
20,Artist,-0.4891165857550463,-1.060970746779051,1.677548262294364,Artist,0,1,2
21,Doctor,-0.4891165857550463,-0.31897226446977633,-0.5748604918350371,Homemaker,12,1,2
22,Doctor,-0.8411343460775991,-2.3267328636595788,0.7837352646239668,Healthcare,3,4,2
23,Artist,-0.10189704940023828,-1.497440442255095,-1.6474360890395139,Artist,13,2,2
24,Doctor,-0.6299236898840674,-0.8645593838148313,0.7837352646239668,Artist,5,2,2
25,Artist,0.17971715885780393,-0.9518533229100401,-1.3256634098781708,Executive,1,3,2
26,Doctor,-0.700327241948578,-1.279205594517073,1.10550794378531,Artist,1,3,2
27,Artist,-0.13709882543249355,-0.9300298381362379,-0.6821180515554848,Healthcare,9,8,2
28,Doctor,-0.4891165857550463,-0.7117949903982159,0.3547050257421761,Artist,1,3,2
29,Artist,-0.31310770559376994,-2.021204076826348,-0.7178705714623007,Artist,0,1,2
30,Artist,-0.9115378981421096,-1.9775571072787435,1.2842705433193893,Artist,5,4,2
31,Doctor,0.39092781505133556,-1.5629108965765017,-1.6831886089463297,Artist,0,3,2
